Category,File
Main figure,Figure_UK_vs_France_Final_Validation.png
Main figure,Figure_Cross_Country_Transferability.png
Main figure,Figure_Domain_Shift_vs_Transfer_Performance.png
Main figure,Figure_UK_Fatal_SHAP_Interpretation.png
Main figure,Figure_Ethiopia_Driver_Fatal_SHAP.png
Main figure,Figure_XAI_Intervention_Framework.png
Main figure,Figure_Intervention_Priority_Sensitivity.png
Supplementary figure,Figure_France_Final_Confusion_Matrix.png
Supplementary figure,Figure_Six_Direction_Macro_F1.png
Main table,cross_country_dataset_summary.csv
Main table,Table_Model_Comparison_UK_Internal.csv
Main table,Table_Final_Internal_vs_External_Validation.csv
Main table,Table_Six_Direction_Cross_Country_Transfer.csv
Main table,Table_Three_Country_Overall_Domain_Shift.csv
Main table,Table_Ethiopia_ABC_CV_Summary.csv
Main table,Table_Final_XAI_Findings_Summary.csv
Main table,Table_Final_Evidence_to_Action_Matrix.csv
Main table,Table_Final_Intervention_Framework_Summary.csv
Supplementary table,Table_Three_Country_Feature_Domain_Shift.csv
Supplementary table,Table_Exploratory_Domain_Shift_Correlations.csv
Supplementary table,Table_UK_Class_Specific_SHAP_Comparison.csv
Supplementary table,Table_UK_SHAP_Stability_Summary.csv
Supplementary table,Table_Ethiopia_Driver_Ablation.csv
Supplementary table,Table_Ethiopia_Class_Specific_SHAP.csv
Supplementary table,Table_Ethiopia_SHAP_Stability_Summary.csv
Supplementary table,Table_France_Final_Confusion_Matrix.csv
Supplementary table,Table_UK_Collision_Configuration_Severity.csv
Supplementary table,Table_France_Collision_Configuration_Severity.csv
Supplementary table,Table_Final_Robust_Intervention_Priorities.csv
Supplementary table,Table_Intervention_Priority_Sensitivity_Summary.csv
Supplementary table,Table_Intervention_Top8_Stability.csv
Supplementary table,Table_Final_XAI_Implementation_Decision_Matrix.csv
