Feature,Mean_Abs_SHAP,Feature_Group,Importance_Percent,Rank,Class
Area_accident_occured,0.1330352114636142,Accident/Environment,14.013925043102116,1,Slight
vehicle_count,0.11465335432595652,Accident/Environment,12.077580783217194,2,Slight
Age_band_of_driver,0.09207404798593774,Driver,9.699077354740988,3,Slight
vehicle_category,0.05989979194279217,Accident/Environment,6.309842222585487,4,Slight
weather_common,0.055850430765553405,Accident/Environment,5.8832826419605295,5,Slight
Driving_experience,0.05169634930091212,Driver,5.445691829513518,6,Slight
day_common,0.05145135677745699,Accident/Environment,5.419884324702962,7,Slight
junction_common,0.051163840512753585,Accident/Environment,5.389597370310228,8,Slight
hour,0.0461101437323423,Accident/Environment,4.857241108444771,9,Slight
Type_of_collision,0.04397088837297779,Accident/Environment,4.631892015341038,10,Slight
Cause_of_accident,0.04000171892761543,Accident/Environment,4.213779829260944,11,Slight
Number_of_casualties,0.03865524512171005,Accident/Environment,4.071942320372409,12,Slight
light_common,0.03546701572712882,Accident/Environment,3.736094334983246,13,Slight
Vehicle_driver_relation,0.024802297246344748,Driver,2.612673221495781,14,Slight
surface_common,0.020870257937534054,Accident/Environment,2.198472322846665,15,Slight
Vehicle_movement,0.01840214883894034,Accident/Environment,1.9384817870677178,16,Slight
Road_allignment,0.01746620029629082,Accident/Environment,1.8398889966584027,17,Slight
Road_surface_type,0.01546403986482568,Accident/Environment,1.6289814790010078,18,Slight
Educational_level,0.013502228085760595,Driver,1.4223242871340838,19,Slight
Drivers_gender,0.012419399443290492,Driver,1.3082591515722075,20,Slight
has_heavy_vehicle,0.007698368783168348,Accident/Environment,0.8109459284843954,21,Slight
has_public_transport,0.0032981497951246963,Accident/Environment,0.3474269969679532,22,Slight
has_motorcycle,0.0013548005726271752,Accident/Environment,0.14271465023635377,23,Slight
has_two_wheeler,0.0,Accident/Environment,0.0,24,Slight
Area_accident_occured,0.10113889009381315,Accident/Environment,10.98948627291885,1,Serious
vehicle_count,0.10022347533857094,Accident/Environment,10.89001970889555,2,Serious
Number_of_casualties,0.08279090917006629,Accident/Environment,8.995842835559955,3,Serious
day_common,0.0820102203883986,Accident/Environment,8.911015242122842,4,Serious
hour,0.058471923498778076,Accident/Environment,6.353405698292218,5,Serious
Driving_experience,0.05516019136841405,Driver,5.993561579452653,6,Serious
light_common,0.052923236529115625,Accident/Environment,5.750499939397012,7,Serious
Type_of_collision,0.051349871941771964,Accident/Environment,5.579542273964144,8,Serious
Cause_of_accident,0.04915185355806468,Accident/Environment,5.340711366951332,9,Serious
Age_band_of_driver,0.03928234883326681,Driver,4.268316894428752,10,Serious
junction_common,0.03519924498462762,Accident/Environment,3.8246575497997823,11,Serious
vehicle_category,0.033374854328342,Accident/Environment,3.6264240507462007,12,Serious
Educational_level,0.030571811250132842,Driver,3.321852748828541,13,Serious
weather_common,0.027166219739197816,Accident/Environment,2.9518101161095687,14,Serious
Vehicle_movement,0.024115987466198162,Accident/Environment,2.620379885243368,15,Serious
Vehicle_driver_relation,0.022102923034327687,Driver,2.401645589068854,16,Serious
surface_common,0.02009622493130548,Accident/Environment,2.183603041473171,17,Serious
Drivers_gender,0.01537821791677234,Driver,1.6709567856792438,18,Serious
Road_surface_type,0.014980475940748571,Accident/Environment,1.6277391867751778,19,Serious
Road_allignment,0.011253337957111455,Accident/Environment,1.222758158503442,20,Serious
has_heavy_vehicle,0.007250548944819896,Accident/Environment,0.7878256131376971,21,Serious
has_public_transport,0.004949905367867181,Accident/Environment,0.5378437220535731,22,Serious
has_motorcycle,0.001381422485839948,Accident/Environment,0.15010174059808273,23,Serious
has_two_wheeler,0.0,Accident/Environment,0.0,24,Serious
Area_accident_occured,0.22175856094533708,Accident/Environment,14.951736208640314,1,Fatal
Age_band_of_driver,0.11758032336358025,Driver,7.927675805455057,2,Fatal
Number_of_casualties,0.11717691767921723,Accident/Environment,7.900476786161509,3,Fatal
day_common,0.11081442995911893,Accident/Environment,7.471495656341349,4,Fatal
Driving_experience,0.09840338016176228,Driver,6.634699359272497,5,Fatal
hour,0.08707326363136739,Accident/Environment,5.870783355969349,6,Fatal
vehicle_count,0.08007467438300135,Accident/Environment,5.398914040854209,7,Fatal
vehicle_category,0.0780485552756652,Accident/Environment,5.262306018638358,8,Fatal
Cause_of_accident,0.0734075028135469,Accident/Environment,4.949390062436971,9,Fatal
weather_common,0.07134812235764589,Accident/Environment,4.810539444004922,10,Fatal
light_common,0.0709310373870855,Accident/Environment,4.782418119489543,11,Fatal
junction_common,0.06597958881213176,Accident/Environment,4.448574173949125,12,Fatal
Type_of_collision,0.04062720364357128,Accident/Environment,2.73922787550521,13,Fatal
Vehicle_driver_relation,0.04057651197350012,Driver,2.735810066173979,14,Fatal
surface_common,0.035911816067955335,Accident/Environment,2.4212999864913183,15,Fatal
Educational_level,0.034744418528885525,Driver,2.3425899697037806,16,Fatal
Vehicle_movement,0.03365943432215774,Accident/Environment,2.269436547439584,17,Fatal
Road_surface_type,0.029697109089703553,Accident/Environment,2.002282750102769,18,Fatal
Drivers_gender,0.027797617360062733,Driver,1.8742123876734054,19,Fatal
Road_allignment,0.027584331167908562,Accident/Environment,1.8598318881407598,20,Fatal
has_heavy_vehicle,0.01126533426382635,Accident/Environment,0.7595481567740149,21,Fatal
has_public_transport,0.006002134456229996,Accident/Environment,0.4046848549872351,22,Fatal
has_motorcycle,0.002700342042075637,Accident/Environment,0.18206648579473922,23,Fatal
has_two_wheeler,0.0,Accident/Environment,0.0,24,Fatal
