Feature,Mean_Importance_Percent,SD_Importance_Percent,Min_Importance_Percent,Max_Importance_Percent,Mean_Rank,SD_Rank
Area_accident_occured,13.967213666926062,0.44229696497522464,13.264470990091723,14.484015312748364,1.0,0.0
vehicle_count,9.276404231391881,0.13652159855119728,9.099421386979472,9.441827015510782,2.0,0.0
day_common,7.491360716333017,0.15438678942340062,7.367042838049976,7.687625723611833,3.4,0.5477225575051662
Number_of_casualties,7.274035771383699,0.433412365835989,6.65351607314333,7.862648471501668,4.2,0.8366600265340756
Age_band_of_driver,7.051709360399127,0.3144895293330148,6.745721331600479,7.517334740289739,4.4,0.8944271909999159
Driving_experience,6.023457519928345,0.1749096828546455,5.833541635117798,6.287083001947358,6.0,0.0
hour,5.711907874739919,0.1776532191223729,5.490247555149085,5.917370819597219,7.0,0.0
vehicle_category,4.84211936238826,0.06744574431425959,4.771864909030759,4.942062922289027,8.8,0.8366600265340757
Cause_of_accident,4.805937933349481,0.18088214930466157,4.4953813991001335,4.969339623457369,9.2,1.6431676725154984
junction_common,4.669447684610056,0.10576959346244862,4.5804352127967105,4.843330470789809,10.6,1.140175425099138
light_common,4.624168288228228,0.17727581130985673,4.497616400331059,4.931042999044104,10.4,1.5165750888103102
weather_common,4.506988944543654,0.18953786166483558,4.252290815336762,4.679904130140379,11.2,1.3038404810405297
Type_of_collision,4.170996681868269,0.09933493427125364,4.0603082271687265,4.293775633781097,12.8,0.44721359549995776
Vehicle_driver_relation,2.44709310138429,0.08824440085072296,2.3357212274423884,2.5209110976769304,14.2,0.44721359549995776
Educational_level,2.288411209821528,0.04318224702931795,2.234788887387953,2.3431643966876723,15.4,0.547722557505166
Vehicle_movement,2.2547326877719476,0.08687082381903281,2.127430739460264,2.3579187612658434,16.2,0.8366600265340757
surface_common,2.2537577184171225,0.08598866619197813,2.199725207207384,2.401303828341228,16.2,1.3038404810405297
Road_surface_type,1.716095245652454,0.05771143126969631,1.661135675579009,1.8020801526792287,18.6,0.8944271909999161
Drivers_gender,1.6527615605094514,0.08100740153738488,1.5495763675671248,1.7685708622199263,19.0,1.0
Road_allignment,1.635840981192287,0.05593027171800035,1.539839379998433,1.6848805146117158,19.4,0.5477225575051662
has_heavy_vehicle,0.7956854498889694,0.028797709050621508,0.7560777057172757,0.8330411312190632,21.0,0.0
has_public_transport,0.4056024019656979,0.005783793831511127,0.3968388586528304,0.4118138867534214,22.0,0.0
has_motorcycle,0.13427160730624854,0.01024282603975735,0.1256957272117537,0.1509874790081992,23.0,0.0
has_two_wheeler,0.0,0.0,0.0,0.0,24.0,0.0
