Feature,Top8_Count,Top8_Percent
has_motorcycle,6,100.0
junction_common,6,100.0
light_common,6,100.0
surface_common,6,100.0
vehicle_count,6,100.0
weather_common,6,100.0
Area_accident_occured,5,83.33333333333334
has_two_wheeler,5,83.33333333333334
hour,2,33.33333333333333
Age_band_of_driver,0,0.0
Cause_of_accident,0,0.0
Drivers_gender,0,0.0
Driving_experience,0,0.0
Educational_level,0,0.0
Number_of_casualties,0,0.0
Road_allignment,0,0.0
Road_surface_type,0,0.0
Type_of_collision,0,0.0
Vehicle_driver_relation,0,0.0
Vehicle_movement,0,0.0
day_common,0,0.0
has_heavy_vehicle,0,0.0
has_public_transport,0,0.0
vehicle_category,0,0.0
