Feature,Slight_MeanAbsSHAP,Slight_Importance_%,Slight_Rank,Serious_MeanAbsSHAP,Serious_Importance_%,Serious_Rank,Fatal_MeanAbsSHAP,Fatal_Importance_%,Fatal_Rank,Global_Importance_%,Global_Rank
junction_common,0.18858893738647167,18.89,2,0.11332000607245585,20.32,1,0.29986968065873104,23.01,1,21.05,1
vehicle_count,0.22502700097251563,22.54,1,0.048788390686302543,8.75,6,0.19416670671394903,14.9,2,16.37,2
weather_common,0.12804160557544028,12.83,4,0.06065632634011001,10.88,3,0.18748335121527487,14.39,3,13.16,3
has_motorcycle,0.15633483320883151,15.66,3,0.04931731510313752,8.84,5,0.11038350005735456,8.47,5,11.05,4
hour,0.07559935163013543,7.57,5,0.05010416815536236,8.98,4,0.11608256778746036,8.91,4,8.46,5
has_two_wheeler,0.02294833175233893,2.3,10,0.11110830449065763,19.92,2,0.09507895087694027,7.3,6,8.01,6
light_common,0.06350359159809178,6.36,7,0.03612582846303508,6.48,8,0.09418728956466947,7.23,7,6.78,7
surface_common,0.06704662953130223,6.72,6,0.027256221386559844,4.89,9,0.08366750136677514,6.42,8,6.22,8
day_common,0.04231209750636516,4.24,8,0.03820485656885297,6.85,7,0.07104915364993444,5.45,9,5.3,9
has_heavy_vehicle,0.024918361672981372,2.5,9,0.01828628317644539,3.28,10,0.04320464484943048,3.32,10,3.02,10
has_public_transport,0.003947036879767643,0.4,11,0.004582322642081355,0.82,11,0.00786938482052574,0.6,11,0.57,11
