collision_configuration,Slight,Serious,Fatal,Total
Car-Car,83.08,16.17,0.74,24315
Car-HeavyVehicle,80.28,16.68,3.04,1841
Car-Motorcycle,66.45,32.14,1.41,9492
Car-PublicTransport,79.85,18.33,1.82,824
Car-TwoWheeler,74.92,24.7,0.39,11589
HeavyVehicle-HeavyVehicle,74.67,22.67,2.67,75
Motorcycle-HeavyVehicle,53.64,37.73,8.64,220
Motorcycle-Motorcycle,59.4,39.1,1.5,266
MultiVehicle_3plus,72.2,25.54,2.27,8815
Single_Car,69.85,28.28,1.87,20768
Single_HeavyVehicle,62.04,30.41,7.55,490
Single_Motorcycle,49.92,46.41,3.67,3163
Single_Other,68.48,29.61,1.91,3512
Single_PublicTransport,72.6,25.91,1.49,1544
Single_TwoWheeler,58.94,39.88,1.17,1364
TwoVehicle_Other,76.76,22.14,1.1,13003
TwoWheeler-HeavyVehicle,64.75,32.79,2.46,244
