Feature,Category,N,Mean_SHAP,Median_SHAP,Mean_Abs_SHAP,Direction
Age_band_of_driver,18-30,168,0.07026478124961533,0.06990927473966371,0.07076620964409076,Toward Fatal
Age_band_of_driver,31-50,147,0.08419872972885291,0.08236744002255057,0.08468430971510375,Toward Fatal
Age_band_of_driver,Over 51,74,0.10849705612996251,0.11135861128846808,0.1099271255714863,Toward Fatal
Age_band_of_driver,Under 18,37,-0.021129174191582934,-0.009450363880484328,0.06706895626162832,Away from Fatal
Age_band_of_driver,Unknown,74,-0.3221173818850328,-0.3267781595990342,0.3221173818850328,Away from Fatal
Drivers_gender,Female,34,-0.17779262399811877,-0.1742067519385342,0.17779262399811874,Away from Fatal
Drivers_gender,Male,466,0.01685377567402432,0.017003857804960033,0.01685377567402432,Toward Fatal
Educational_level,Above high school,14,0.09140227027599182,0.09424118915770346,0.09140227027599182,Toward Fatal
Educational_level,Elementary school,79,0.022582612847188654,0.023466063890463698,0.03004094400942733,Toward Fatal
Educational_level,High school,61,0.06236625851947713,0.05554656918596086,0.06372234433697352,Toward Fatal
Educational_level,Illiterate,1,0.06593159735409156,0.06593159735409156,0.06593159735409156,Toward Fatal
Educational_level,Junior high school,304,-0.01953919321886139,-0.01926894838823634,0.023979404367114963,Away from Fatal
Educational_level,Missing,29,0.06504533246888683,0.06490349917323654,0.06516640981976857,Toward Fatal
Educational_level,Unknown,6,0.05872145338697441,0.0627734569768309,0.05872145338697441,Toward Fatal
Educational_level,Writing & reading,6,0.027372550083611672,0.024429646155777116,0.03907579487109503,Toward Fatal
Driving_experience,1-2yr,67,0.04232879680466297,0.04328936950041959,0.05733433490586816,Toward Fatal
Driving_experience,2-5yr,112,0.11220489868247434,0.10752885756049996,0.11696527106454244,Toward Fatal
Driving_experience,5-10yr,147,0.037945880303694036,0.046549571052597355,0.0647275861181128,Toward Fatal
Driving_experience,Above 10yr,81,0.08695100167884098,0.09221847767588202,0.09787051831093933,Toward Fatal
Driving_experience,Below 1yr,57,-0.1617209211335806,-0.17483994378991083,0.1617209211335806,Away from Fatal
Driving_experience,Missing,28,-0.11268414938389293,-0.12273528716596416,0.12046648758801026,Away from Fatal
Driving_experience,No Licence,5,-0.26348951027472856,-0.2740787131841647,0.26348951027472856,Away from Fatal
Driving_experience,Unknown,3,-0.3030368106528441,-0.3280802476886094,0.3030368106528441,Away from Fatal
Vehicle_driver_relation,Employee,387,-0.020254997091911787,-0.018831484150239775,0.025806210308300694,Away from Fatal
Vehicle_driver_relation,Missing,26,0.10712931163044045,0.1058387985611916,0.10712931163044044,Toward Fatal
Vehicle_driver_relation,Other,10,0.09252610488305112,0.08800737329929657,0.09400377996647033,Toward Fatal
Vehicle_driver_relation,Owner,76,0.0842719279443126,0.08286457388727021,0.08514253902987538,Toward Fatal
Vehicle_driver_relation,Unknown,1,0.10501972911101762,0.10501972911101762,0.10501972911101762,Toward Fatal
