Feature,Mean_Abs_SHAP,Feature_Group,Importance_Percent,Rank
Area_accident_occured,0.15197755416758815,Accident/Environment,13.598588633379482,1
vehicle_count,0.098317168015843,Accident/Environment,8.797185418394083,2
Age_band_of_driver,0.08297890672759506,Driver,7.424754425195114,3
day_common,0.08142533570832489,Accident/Environment,7.285744600227812,4
Number_of_casualties,0.07954102399033114,Accident/Environment,7.117140887328224,5
Driving_experience,0.06841997361036277,Driver,6.122055855748403,6
hour,0.06388511028749586,Accident/Environment,5.716287114607423,7
vehicle_category,0.05710773384893309,Accident/Environment,5.109863654864517,8
Cause_of_accident,0.054187025099742325,Accident/Environment,4.848525610469091,9
light_common,0.05310709654777658,Accident/Environment,4.7518961824455985,10
weather_common,0.051454924287465606,Accident/Environment,4.604063753883978,11
junction_common,0.050780891436504286,Accident/Environment,4.543752903931099,12
Type_of_collision,0.04531598798610701,Accident/Environment,4.054766393060287,13
Vehicle_driver_relation,0.02916057741805756,Driver,2.6092188336095066,14
Educational_level,0.026272819288259634,Driver,2.3508291319531933,15
surface_common,0.02562609964559825,Accident/Environment,2.292962202656644,16
Vehicle_movement,0.02539252354243208,Accident/Environment,2.2720623707114473,17
Road_surface_type,0.020047208298425927,Accident/Environment,1.793776326978851,18
Road_allignment,0.018767956473770272,Accident/Environment,1.6793119284874165,19
Drivers_gender,0.018531744906708555,Driver,1.658176281526181,20
has_heavy_vehicle,0.008738083997271535,Accident/Environment,0.7818628900408601,21
has_public_transport,0.004750063206407286,Accident/Environment,0.4250243128354018,22
has_motorcycle,0.0018121883668475863,Accident/Environment,0.16215028766538542,23
has_two_wheeler,0.0,Accident/Environment,0.0,24
