Feature,Importance,Importance_Percent,Cumulative_Percent
day_common,12.745074837386428,12.75,12.75
Area_accident_occured,12.26059760752145,12.26,25.01
junction_common,10.691680210366252,10.69,35.7
Cause_of_accident,9.88075421862481,9.88,45.58
hour,9.178714795763334,9.18,54.76
vehicle_category,7.149006261313108,7.15,61.91
vehicle_count,6.136574262798493,6.14,68.05
Number_of_casualties,5.824862740719934,5.82,73.87
light_common,5.394279596722532,5.39,79.26
Vehicle_movement,4.530642367304859,4.53,83.79
Type_of_collision,4.527033067363695,4.53,88.32
weather_common,3.7092183471799993,3.71,92.03
surface_common,2.828439752364206,2.83,94.86
Road_allignment,1.9068915954136538,1.91,96.77
Road_surface_type,1.4172576092446107,1.42,98.19
has_heavy_vehicle,1.236977539785641,1.24,99.43
has_public_transport,0.4558816122877365,0.46,99.89
has_motorcycle,0.12234982197974438,0.12,100.01
has_two_wheeler,0.003763755859618792,0.0,100.01
