Feature,Importance,Importance_Percent,Rank,Feature_Group
Area_accident_occured,11.022811761953418,11.02,1,Accident/Environment
day_common,9.161306391677213,9.16,2,Accident/Environment
Driving_experience,8.538140037486981,8.54,3,Driver
hour,8.188553737883112,8.19,4,Accident/Environment
Cause_of_accident,7.88807731249717,7.89,5,Accident/Environment
junction_common,7.149132836993677,7.15,6,Accident/Environment
vehicle_category,6.007970251888321,6.01,7,Accident/Environment
Number_of_casualties,5.595942108581553,5.6,8,Accident/Environment
Age_band_of_driver,5.343984543535833,5.34,9,Driver
vehicle_count,5.064713242043413,5.06,10,Accident/Environment
light_common,4.536076357206297,4.54,11,Accident/Environment
Type_of_collision,3.765543540638469,3.77,12,Accident/Environment
Vehicle_movement,3.377042891245697,3.38,13,Accident/Environment
Educational_level,3.0761574099856164,3.08,14,Driver
weather_common,2.5817783244664505,2.58,15,Accident/Environment
surface_common,2.501102142577943,2.5,16,Accident/Environment
Vehicle_driver_relation,2.2677519697399067,2.27,17,Driver
Road_allignment,1.11167123835908,1.11,18,Accident/Environment
has_heavy_vehicle,0.9175365226196346,0.92,19,Accident/Environment
Road_surface_type,0.8799186954322288,0.88,20,Accident/Environment
Drivers_gender,0.5344037969714411,0.53,21,Driver
has_public_transport,0.34738280503320723,0.35,22,Accident/Environment
has_motorcycle,0.14300208118325142,0.14,23,Accident/Environment
has_two_wheeler,0.0,0.0,24,Accident/Environment
