Fold,Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Fatal_Recall,Fatal_F1,Serious_Recall,Serious_F1,Slight_Recall
1,A_No_Driver,0.7068503635667814,0.4753270960293676,0.5259902127078234,0.49099853221194856,0.3870967741935484,0.3310344827586207,0.42278481012658226,0.32458697764820216,0.7680890538033395
1,B_With_Driver,0.7217757367011098,0.4878406189680999,0.5285735245135584,0.5018514728752678,0.3870967741935484,0.34782608695652173,0.41012658227848103,0.32926829268292684,0.7884972170686456
2,A_No_Driver,0.732108687332568,0.4915322999491487,0.5721014500971091,0.5184709223028588,0.4838709677419355,0.3614457831325301,0.4393939393939394,0.35765673175745116,0.7930394431554524
2,B_With_Driver,0.734404898584003,0.48715448233428615,0.551180883001106,0.5100110054908642,0.43548387096774194,0.34394904458598724,0.4166666666666667,0.34773445732349845,0.8013921113689095
3,A_No_Driver,0.7259854573287409,0.46454227628937445,0.5324186540374974,0.4871529222632584,0.4126984126984127,0.2988505747126437,0.38734177215189874,0.32903225806451614,0.797215777262181
3,B_With_Driver,0.7370838117106774,0.4782501885767692,0.5283873956316613,0.49671115354901557,0.36507936507936506,0.3006535947712418,0.41265822784810124,0.3482905982905983,0.8074245939675174
4,A_No_Driver,0.7174578866768759,0.4571186853726073,0.48684167062206685,0.4667831382982898,0.27419354838709675,0.2518518518518518,0.39746835443037976,0.32205128205128203,0.7888631090487239
4,B_With_Driver,0.7297090352220521,0.4726968954254396,0.4876561830404443,0.47701568906956693,0.27419354838709675,0.27419354838709675,0.3822784810126582,0.32127659574468087,0.8064965197215778
5,A_No_Driver,0.7331546707503829,0.4870000423142254,0.5241162562366634,0.5006604645406295,0.3548387096774194,0.32116788321167883,0.4151898734177215,0.3445378151260504,0.8023201856148492
5,B_With_Driver,0.7335375191424196,0.4667740277021714,0.5024031148026075,0.48038944203379724,0.3064516129032258,0.2676056338028169,0.3924050632911392,0.3358613217768147,0.8083526682134571
6,A_No_Driver,0.7194795254496748,0.4899802825659079,0.5596655760191896,0.5137541253194637,0.4838709677419355,0.38461538461538464,0.41265822784810124,0.3302938196555218,0.7824675324675324
6,B_With_Driver,0.7332567929582855,0.5124391771877034,0.5558740545848987,0.5289896338832526,0.46774193548387094,0.42028985507246375,0.39746835443037976,0.33052631578947367,0.8024118738404453
7,A_No_Driver,0.7420589360887868,0.48840930597988547,0.5199212769866164,0.5009409793759131,0.3548387096774194,0.3235294117647059,0.38636363636363635,0.33406113537117904,0.8185614849187935
7,B_With_Driver,0.7634902411021814,0.5071142517929155,0.5217125852744444,0.5138419172867933,0.3548387096774194,0.34108527131782945,0.3611111111111111,0.34088200238379024,0.8491879350348028
8,A_No_Driver,0.7359357060849598,0.4863840668430706,0.5327477782175424,0.5034632149557284,0.36507936507936506,0.3150684931506849,0.43037974683544306,0.35714285714285715,0.802784222737819
8,B_With_Driver,0.7389973210868733,0.4963268866500789,0.5435686602299424,0.5141471722665168,0.3968253968253968,0.3448275862068966,0.4278481012658228,0.3576719576719577,0.8060324825986079
9,A_No_Driver,0.7362174578866769,0.4799885075643848,0.5368834668063768,0.5009832052052504,0.4032258064516129,0.32051282051282054,0.4,0.34347826086956523,0.8074245939675174
9,B_With_Driver,0.7277947932618682,0.47280170690258405,0.5314129194579476,0.4937395985353847,0.4032258064516129,0.31645569620253167,0.3924050632911392,0.3315508021390374,0.7986078886310904
10,A_No_Driver,0.7094180704441041,0.4807625712498014,0.5443724524775647,0.5003974431509232,0.41935483870967744,0.34210526315789475,0.4481012658227848,0.34104046242774566,0.765661252900232
10,B_With_Driver,0.718989280245023,0.4809267461441374,0.540658197531262,0.5010396166844552,0.41935483870967744,0.34210526315789475,0.42025316455696204,0.33434038267875127,0.7823665893271462
11,A_No_Driver,0.7543053960964409,0.5273756554290023,0.5711658463452198,0.5443455896855279,0.43548387096774194,0.39705882352941174,0.4607594936708861,0.386411889596603,0.8172541743970315
11,B_With_Driver,0.7554535017221584,0.5313761484346237,0.5720264831126407,0.5475323882103695,0.45161290322580644,0.4148148148148148,0.4430379746835443,0.3767491926803014,0.8214285714285714
12,A_No_Driver,0.7244546498277842,0.45902310426223547,0.507172213616342,0.47591076407440464,0.3225806451612903,0.2597402597402597,0.40404040404040403,0.3368421052631579,0.7948955916473318
12,B_With_Driver,0.7240719479525449,0.45188569794966754,0.4956122233234725,0.46750844084418763,0.3064516129032258,0.24675324675324675,0.3813131313131313,0.3236870310825295,0.7990719257540603
13,A_No_Driver,0.732108687332568,0.4825129872403746,0.5167277286810901,0.4957530041437441,0.36507936507936506,0.32857142857142857,0.37721518987341773,0.3214670981661273,0.8078886310904873
13,B_With_Driver,0.748564867967853,0.4880881007729562,0.511350573038141,0.4982069456711781,0.3492063492063492,0.3235294117647059,0.3518987341772152,0.3213872832369942,0.8329466357308585
14,A_No_Driver,0.7174578866768759,0.47473214221424986,0.5407286841828522,0.49634567113434924,0.41935483870967744,0.3270440251572327,0.42278481012658226,0.3363544813695871,0.7800464037122969
14,B_With_Driver,0.7331546707503829,0.47884341451735296,0.5307163269127951,0.4974060022456998,0.3709677419354839,0.30666666666666664,0.42025316455696204,0.3472803347280335,0.8009280742459397
15,A_No_Driver,0.7331546707503829,0.48251881754708337,0.5421408172977781,0.503251492813051,0.3870967741935484,0.3116883116883117,0.4430379746835443,0.36119711042311664,0.7962877030162413
15,B_With_Driver,0.7331546707503829,0.49378755551374875,0.554359798355122,0.5155087266775776,0.43548387096774194,0.3576158940397351,0.43037974683544306,0.35269709543568467,0.797215777262181
1,C_Driver_Only,0.4010715652506697,0.34463350678641286,0.33852394664387897,0.2762399717724817,0.22580645161290322,0.03612903225806452,0.379746835443038,0.24232633279483037,0.4100185528756957
2,C_Driver_Only,0.3463451970914658,0.34641540533625514,0.31243794127186086,0.25302278958856417,0.3225806451612903,0.03278688524590164,0.25,0.22048997772828507,0.36473317865429233
3,C_Driver_Only,0.3643321852277076,0.3305493128861046,0.3232326396707142,0.25366155639831073,0.2222222222222222,0.03905160390516039,0.3822784810126582,0.21679827709978464,0.36519721577726216
4,C_Driver_Only,0.4261102603369066,0.33592712713107153,0.3328951286839302,0.27707129288903,0.25806451612903225,0.042105263157894736,0.28354430379746837,0.199288256227758,0.45707656612529
5,C_Driver_Only,0.4555895865237366,0.3379726102544434,0.3467677354299954,0.29058979655676936,0.22580645161290322,0.04895104895104895,0.3291139240506329,0.20950846091861403,0.4853828306264501
6,C_Driver_Only,0.3723689246077306,0.3384191775921079,0.3265521903479087,0.25807166234788176,0.3225806451612903,0.039603960396039604,0.26329113924050634,0.19980787704130643,0.3937847866419295
7,C_Driver_Only,0.547646383467279,0.3347005262098095,0.3297649926906719,0.3107161236777006,0.12903225806451613,0.03532008830022075,0.24494949494949494,0.1913214990138067,0.6153132250580047
8,C_Driver_Only,0.3375430539609644,0.32402847910964944,0.303002784191659,0.23687319923705974,0.2698412698412698,0.03732162458836443,0.2911392405063291,0.185334407735697,0.3480278422273782
9,C_Driver_Only,0.45597243491577333,0.34131011838242875,0.352354655229639,0.29098284335850083,0.3064516129032258,0.04804045512010114,0.25316455696202533,0.2034587995930824,0.4974477958236659
10,C_Driver_Only,0.39586523736600304,0.34112708084873516,0.3421460595845898,0.2727275514487916,0.2903225806451613,0.04161849710982659,0.3240506329113924,0.22654867256637168,0.4120649651972158
11,C_Driver_Only,0.535399923459625,0.33209840477886804,0.32641204000067675,0.3040445187788473,0.16129032258064516,0.037243947858473,0.21265822784810126,0.17721518987341772,0.6052875695732839
12,C_Driver_Only,0.37964026023727515,0.3327066518379735,0.3411478505333756,0.26032349058183163,0.3548387096774194,0.047261009667024706,0.2676767676767677,0.19539170506912443,0.4009280742459397
13,C_Driver_Only,0.46498277841561425,0.3283207181667605,0.311795372402145,0.2843042083034821,0.09523809523809523,0.026490066225165563,0.34177215189873417,0.20579268292682926,0.49837587006960554
14,C_Driver_Only,0.3158499234303216,0.3326743093871707,0.33089146982037587,0.23506947141350273,0.3064516129032258,0.042600896860986545,0.3822784810126582,0.21884057971014492,0.3039443155452436
15,C_Driver_Only,0.40160796324655434,0.33193372549784644,0.3125523399705106,0.26581784163427696,0.22580645161290322,0.033775633293124246,0.28354430379746837,0.2003577817531306,0.4283062645011601
