Feature,Mean_Abs_SHAP,Importance_Percent,Feature_Group,Rank,Seed
hour,0.06668790974726753,5.917370819597219,Accident/Environment,7.0,11
day_common,0.08597156442594002,7.628453621910444,Accident/Environment,3.0,11
weather_common,0.04914341607068563,4.360607752350724,Accident/Environment,12.0,11
light_common,0.050687483635430484,4.497616400331059,Accident/Environment,11.0,11
surface_common,0.024790583615481542,2.199725207207384,Accident/Environment,16.0,11
junction_common,0.052727586464256584,4.678639392265035,Accident/Environment,10.0,11
vehicle_category,0.05377822449890965,4.771864909030759,Accident/Environment,9.0,11
vehicle_count,0.1036051479969774,9.193121839337381,Accident/Environment,2.0,11
has_motorcycle,0.0014165725906772153,0.1256957272117537,Accident/Environment,23.0,11
has_heavy_vehicle,0.009148180953867435,0.8117390278682153,Accident/Environment,21.0,11
has_public_transport,0.00447231630345079,0.3968388586528304,Accident/Environment,22.0,11
has_two_wheeler,0.0,0.0,Accident/Environment,24.0,11
Type_of_collision,0.048390227800545534,4.293775633781097,Accident/Environment,13.0,11
Number_of_casualties,0.08294883877918797,7.360240259015657,Accident/Environment,4.0,11
Road_surface_type,0.019361354445671445,1.7179772804228495,Accident/Environment,18.0,11
Road_allignment,0.01849726271547872,1.6413044440860165,Accident/Environment,19.0,11
Area_accident_occured,0.1572023207589445,13.948921613487148,Accident/Environment,1.0,11
Vehicle_movement,0.023975835463417135,2.127430739460264,Accident/Environment,17.0,11
Cause_of_accident,0.054914251649578576,4.872667197438275,Accident/Environment,8.0,11
Age_band_of_driver,0.0760232997148235,6.745721331600479,Driver,5.0,11
Drivers_gender,0.018455696532370478,1.63761618155179,Driver,20.0,11
Educational_level,0.02552258836778146,2.264677663769325,Driver,15.0,11
Driving_experience,0.07085451234843924,6.287083001947358,Driver,6.0,11
Vehicle_driver_relation,0.02841030195471295,2.5209110976769304,Driver,14.0,11
hour,0.0632498409976825,5.6886026899165465,Accident/Environment,7.0,22
day_common,0.08191190588081172,7.367042838049976,Accident/Environment,4.0,22
weather_common,0.05203442888364542,4.679904130140379,Accident/Environment,10.0,22
light_common,0.05081864335006098,4.57055807096272,Accident/Environment,12.0,22
surface_common,0.024549531761268003,2.207950726997998,Accident/Environment,17.0,22
junction_common,0.051753988432360655,4.654681706172572,Accident/Environment,11.0,22
vehicle_category,0.053947319420084745,4.851946843283379,Accident/Environment,8.0,22
vehicle_count,0.10419215010739108,9.370897001793422,Accident/Environment,2.0,22
has_motorcycle,0.001408903920645875,0.12671485819409026,Accident/Environment,23.0,22
has_heavy_vehicle,0.008772076732424432,0.788948375349313,Accident/Environment,21.0,22
has_public_transport,0.004578833199928338,0.4118138867534214,Accident/Environment,22.0,22
has_two_wheeler,0.0,0.0,Accident/Environment,24.0,22
Type_of_collision,0.046049585443329676,4.141635638768883,Accident/Environment,13.0,22
Number_of_casualties,0.079752463682435,7.172825611498287,Accident/Environment,5.0,22
Road_surface_type,0.019280018879489894,1.734018070709879,Accident/Environment,19.0,22
Road_allignment,0.018412633071352973,1.6560065980558383,Accident/Environment,20.0,22
Area_accident_occured,0.14748361359966616,13.264470990091723,Accident/Environment,1.0,22
Vehicle_movement,0.02496201263769459,2.2450486830745264,Accident/Environment,16.0,22
Cause_of_accident,0.05393321788418333,4.850678570766083,Accident/Environment,9.0,22
Age_band_of_driver,0.08358295577444451,7.517334740289739,Driver,3.0,22
Drivers_gender,0.019664200846163438,1.7685708622199263,Driver,18.0,22
Educational_level,0.026052931378847993,2.3431643966876723,Driver,15.0,22
Driving_experience,0.06763195637088194,6.08272404905831,Driver,6.0,22
Vehicle_driver_relation,0.027846335425120047,2.504460661165305,Driver,14.0,22
hour,0.06546777375450404,5.861217998913879,Accident/Environment,7.0,33
day_common,0.08586811507027858,7.687625723611833,Accident/Environment,3.0,33
weather_common,0.04749661471189261,4.252290815336762,Accident/Environment,13.0,33
light_common,0.05507804137211275,4.931042999044104,Accident/Environment,8.0,33
surface_common,0.026821731554567595,2.401303828341228,Accident/Environment,14.0,33
junction_common,0.051161873908137624,4.5804352127967105,Accident/Environment,11.0,33
vehicle_category,0.053477661680121635,4.787763737846541,Accident/Environment,10.0,33
vehicle_count,0.1054619355559149,9.441827015510782,Accident/Environment,2.0,33
has_motorcycle,0.0015207526782612234,0.1361503906203614,Accident/Environment,23.0,33
has_heavy_vehicle,0.00880862336529331,0.7886210092909798,Accident/Environment,21.0,33
has_public_transport,0.004576355887808744,0.40971332857052817,Accident/Environment,22.0,33
has_two_wheeler,0.0,0.0,Accident/Environment,24.0,33
Type_of_collision,0.047518355890686675,4.2542372659514305,Accident/Environment,12.0,33
Number_of_casualties,0.07431746866081784,6.65351607314333,Accident/Environment,5.0,33
Road_surface_type,0.018600433473211872,1.6652650488713037,Accident/Environment,20.0,33
Road_allignment,0.01881953142749723,1.6848805146117158,Accident/Environment,19.0,33
Area_accident_occured,0.15730452205824302,14.083205264557938,Accident/Environment,1.0,33
Vehicle_movement,0.024965388201573256,2.2351085776284907,Accident/Environment,17.0,33
Cause_of_accident,0.05407924958743893,4.841622875985547,Accident/Environment,9.0,33
Age_band_of_driver,0.07922894724731223,7.093232364709766,Driver,4.0,33
Drivers_gender,0.018824275406774286,1.6853052349761113,Driver,18.0,33
Educational_level,0.02546827807140621,2.2801314489970714,Driver,16.0,33
Driving_experience,0.06601021729903953,5.909782043241219,Driver,6.0,33
Vehicle_driver_relation,0.026089196631165535,2.3357212274423884,Driver,15.0,33
hour,0.06135747789991135,5.490247555149085,Accident/Environment,7.0,44
day_common,0.08234080341890733,7.367828830857478,Accident/Environment,3.0,44
weather_common,0.0513407454489479,4.5939535298439145,Accident/Environment,11.0,44
light_common,0.0515073397074256,4.608860330964409,Accident/Environment,10.0,44
surface_common,0.024599734744274387,2.2011764198877475,Accident/Environment,17.0,44
junction_common,0.05129825659816831,4.590151641026152,Accident/Environment,12.0,44
vehicle_category,0.054280014637609904,4.856958399491595,Accident/Environment,9.0,44
vehicle_count,0.10367441859461239,9.276753913338345,Accident/Environment,2.0,44
has_motorcycle,0.0016873940224645019,0.1509874790081992,Accident/Environment,23.0,44
has_heavy_vehicle,0.009309835719621365,0.8330411312190632,Accident/Environment,21.0,44
has_public_transport,0.004528603509764486,0.4052179978499403,Accident/Environment,22.0,44
has_two_wheeler,0.0,0.0,Accident/Environment,24.0,44
Type_of_collision,0.045876634712287354,4.105026643671207,Accident/Environment,13.0,44
Number_of_casualties,0.08181688124433839,7.320948441759548,Accident/Environment,4.0,44
Road_surface_type,0.018564389761897664,1.661135675579009,Accident/Environment,18.0,44
Road_allignment,0.018520114834660668,1.6571739692094312,Accident/Environment,19.0,44
Area_accident_occured,0.15707985301323893,14.055455153745141,Accident/Environment,1.0,44
Vehicle_movement,0.026351443506125602,2.3579187612658434,Accident/Environment,15.0,44
Cause_of_accident,0.055535955903751544,4.969339623457369,Accident/Environment,8.0,44
Age_band_of_driver,0.0796708709637926,7.128924126234214,Driver,5.0,44
Drivers_gender,0.018135280953308623,1.622739156232305,Driver,20.0,44
Educational_level,0.024975378321561013,2.234788887387953,Driver,16.0,44
Driving_experience,0.06710078530614103,6.004156870277041,Driver,6.0,44
Vehicle_driver_relation,0.02801994186749259,2.5072154625449974,Driver,14.0,44
hour,0.06370485740319183,5.602100310122866,Accident/Environment,7.0,55
day_common,0.0842164109222177,7.405852567235356,Accident/Environment,4.0,55
