Feature,UK_Global_SHAP_%,UK_Global_Rank,Fatal_Importance_%,Fatal_Rank,Serious_Importance_%,Serious_Rank,UK_Stable_SHAP_%,UK_SHAP_SD,UK_Stable_Rank,Evidence_Context_UK,Feature_Group,Ethiopia_Global_SHAP_%,Ethiopia_Global_Rank,Ethiopia_Fatal_SHAP_%,Ethiopia_Fatal_Rank,Ethiopia_Serious_SHAP_%,Ethiopia_Serious_Rank,Ethiopia_Stable_SHAP_%,Ethiopia_SHAP_SD,Ethiopia_Stable_Rank,Evidence_Context_ETH,JS_UK_France,JS_UK_Ethiopia,JS_France_Ethiopia,Mean_JS,Factor_Domain,Modifiability,Fatal_Relevance,Severity_Score,UK_SHAP_CV,Ethiopia_SHAP_CV,Mean_SHAP_CV,Stability_Score,Actionability_Score,CrossCountry_Score,Priority_Score,Priority_Score_100,Priority_Level,Eligible_for_Intervention
junction_common,21.05,1.0,23.01,1.0,20.32,1.0,20.682179540648285,0.1182746407218355,1.0,UK,Accident/Environment,4.543752903931099,12,4.448574173949125,12,3.8246575497997823,11,4.669447684610056,0.1057695934624486,10.6,Ethiopia,0.2666,0.2941,0.4256,0.3288,Road/Infrastructure,Directly modifiable,23.01,1.0,0.005718673918741553,0.02265141417282661,0.01418504404578408,0.9860133570998079,1.0,1.0,0.9965033392749519,99.7,Priority I — High,Yes
vehicle_count,16.37,2.0,14.9,2.0,8.75,6.0,16.502467106579864,0.3030883235237271,2.0,UK,Accident/Environment,8.797185418394083,2,5.398914040854209,7,10.89001970889555,2,9.27640423139188,0.1365215985511972,2.0,Ethiopia,0.0735,0.1605,0.2238,0.1526,Vehicle/Collision,Indirectly modifiable,14.9,0.6475445458496306,0.018366243154205694,0.014717081656403064,0.01654166240530438,0.9837275116042327,0.6,1.0,0.7725724689484289,77.3,Priority I — High,Yes
surface_common,6.22,8.0,6.42,8.0,4.89,9.0,5.224200625336482,0.3327794857575943,8.6,UK,Accident/Environment,2.292962202656644,16,2.4212999864913183,15,2.183603041473171,17,2.2537577184171225,0.0859886661919781,16.2,Ethiopia,0.1229,0.1324,0.0908,0.1154,Road/Infrastructure,Directly modifiable,6.42,0.2790091264667536,0.06369959915851443,0.038153464983969244,0.05092653207124184,0.9515413013972803,1.0,1.0,0.7355385196126839,73.6,Priority I — High,Yes
Area_accident_occured,,,,,,,,,,,Accident/Environment,13.598588633379482,1,14.951736208640314,1,10.98948627291885,1,13.967213666926062,0.4422969649752246,1.0,Ethiopia,,,,,Road/Infrastructure,Partly modifiable,14.951736208640314,0.6497929686501657,,0.03166680023107045,0.03166680023107045,0.9693052056885247,0.75,0.5,0.7322538404496891,73.2,Priority I — High,Yes
light_common,6.78,7.0,7.23,7.0,6.48,8.0,6.755767680547261,0.2025381768341415,7.0,UK,Accident/Environment,4.751896182445599,10,4.782418119489543,11,5.750499939397012,7,4.624168288228228,0.1772758113098567,10.4,Ethiopia,0.2271,0.1349,0.268,0.21,Temporal/Environmental,Directly/partly modifiable,7.23,0.31421121251629724,0.029980038747829556,0.03833679923828654,0.03415841899305805,0.9669698390829544,0.9,1.0,0.7267163841514427,72.7,Priority I — High,Yes
weather_common,13.16,3.0,14.39,3.0,10.88,3.0,13.102962945806803,0.3925854485079583,3.0,UK,Accident/Environment,4.604063753883978,11,4.810539444004922,10,2.9518101161095687,14,4.506988944543654,0.1895378616648355,11.2,Ethiopia,0.1425,0.0302,0.1436,0.1054,Temporal/Environmental,Not modifiable — targetable,14.39,0.625380269448066,0.029961578166073734,0.04205421047111683,0.03600789431859528,0.965243610095965,0.45,1.0,0.7226939968308144,72.3,Priority I — High,Yes
has_motorcycle,11.05,4.0,8.47,5.0,8.84,5.0,11.551300691874356,0.4403152707496446,4.0,UK,Accident/Environment,0.1621502876653854,23,0.1820664857947392,23,0.1501017405980827,23,0.1342716073062485,0.0102428260397573,23.0,Ethiopia,0.1443,0.2191,0.3514,0.2383,Vehicle/Collision,Indirectly modifiable,8.47,0.3681008257279444,0.03811824161580175,0.07628437795039812,0.05720130978309994,0.9458936446126466,0.6,1.0,0.6653087001579422,66.5,Priority I — High,Yes
has_two_wheeler,8.01,6.0,7.3,6.0,19.92,2.0,8.063983865299779,0.1890255409382901,6.0,UK,Accident/Environment,0.0,24,0.0,24,0.0,24,0.0,0.0,24.0,Ethiopia,0.0756,0.2883,0.2233,0.1957,Vehicle/Collision,Indirectly modifiable,7.3,0.3172533681008257,0.023440714179958626,,0.023440714179958626,0.9770961679995888,0.6,1.0,0.6553127208351862,65.5,Priority I — High,Yes
hour,8.46,5.0,8.91,4.0,8.98,4.0,8.543671836514289,0.1305530132606571,5.0,UK,Accident/Environment,5.716287114607423,7,5.870783355969349,6,6.353405698292218,5,5.711907874739919,0.1776532191223729,7.0,Ethiopia,0.0878,0.0504,0.0824,0.0735,Temporal/Environmental,Not modifiable — targetable,8.91,0.3872229465449804,0.015280668049853504,0.0311022556767798,0.02319146186331665,0.9773341913730563,0.45,1.0,0.6423615791340072,64.2,Priority II — Targeted,Yes
day_common,5.3,9.0,5.45,9.0,6.85,7.0,5.296656781207793,0.1661909859066856,8.4,UK,Accident/Environment,7.285744600227812,4,7.471495656341349,4,8.911015242122842,4,7.491360716333017,0.1543867894234006,3.4,Ethiopia,0.0224,0.0137,0.0123,0.0161,Temporal/Environmental,Not modifiable — targetable,7.471495656341349,0.3247064605102716,0.031376582016097554,0.020608644446502122,0.025992613231299838,0.9746658865803745,0.45,1.0,0.6198137328236887,62.0,Priority II — Targeted,Yes
