collision_configuration,Slight,Serious,Fatal,Total
Car-Car,73.0,22.71,4.29,9836
Car-HeavyVehicle,52.58,32.02,15.4,1240
Car-Motorcycle,63.4,33.38,3.23,9953
Car-PublicTransport,79.22,15.06,5.72,332
Car-TwoWheeler,72.76,24.57,2.66,3642
HeavyVehicle-HeavyVehicle,35.09,56.14,8.77,57
Motorcycle-HeavyVehicle,38.34,44.09,17.57,313
Motorcycle-Motorcycle,63.44,33.66,2.91,413
MultiVehicle_3plus,72.69,21.65,5.67,3654
Single_Car,55.67,35.67,8.66,13412
Single_HeavyVehicle,36.65,37.86,25.49,412
Single_Motorcycle,50.3,42.59,7.11,4316
Single_Other,61.44,30.95,7.6,1302
Single_PublicTransport,68.46,24.37,7.17,279
Single_TwoWheeler,67.33,24.27,8.4,1059
TwoVehicle_Other,76.18,21.65,2.18,4042
TwoWheeler-HeavyVehicle,42.14,37.86,20.0,140
