Scenario,Feature,Sensitivity_Priority_Score,Sensitivity_Rank
Primary,junction_common,99.6503339274952,1
Primary,vehicle_count,77.2572468948429,2
Primary,surface_common,73.55385196126839,3
Primary,Area_accident_occured,73.2253840449689,4
Primary,light_common,72.67163841514427,5
Primary,weather_common,72.26939968308143,6
Primary,has_motorcycle,66.53087001579422,7
Primary,has_two_wheeler,65.53127208351862,8
Primary,hour,64.23615791340072,9
Primary,day_common,61.98137328236887,10
Primary,Driving_experience,60.63642708671655,11
Primary,Cause_of_accident,60.37160625010117,12
Primary,Road_surface_type,59.732243931204344,13
Primary,Road_allignment,59.5024443408583,14
Primary,has_heavy_vehicle,58.686744177863595,15
Primary,vehicle_category,55.160936298067945,16
Primary,Age_band_of_driver,54.74127167841952,17
Primary,has_public_transport,54.51317192900853,18
Primary,Type_of_collision,51.085037586720304,19
Primary,Vehicle_driver_relation,50.79123542050053,20
Primary,Educational_level,50.6002493965513,21
Primary,Vehicle_movement,50.02451800158604,22
Primary,Drivers_gender,45.432740424610564,23
Primary,Number_of_casualties,43.111416621229495,24
Severity_Emphasis,junction_common,99.72026714199616,1
Severity_Emphasis,vehicle_count,75.81405479531803,2
Severity_Emphasis,surface_common,66.58623671894954,5
Severity_Emphasis,Area_accident_occured,71.12678770302794,4
Severity_Emphasis,light_common,66.47890134489248,6
Severity_Emphasis,weather_common,71.44698432708228,3
Severity_Emphasis,has_motorcycle,62.48241005001043,7
Severity_Emphasis,has_two_wheeler,60.81832492452893,9
Severity_Emphasis,hour,60.97171642198524,8
Severity_Emphasis,day_common,58.10510845456971,10
Severity_Emphasis,Driving_experience,54.91091868404653,11
Severity_Emphasis,Cause_of_accident,53.45393997884793,12
Severity_Emphasis,Road_surface_type,50.765100088542226,15
Severity_Emphasis,Road_allignment,50.47601640699316,16
Severity_Emphasis,has_heavy_vehicle,52.402241930730675,13
Severity_Emphasis,vehicle_category,49.51658920867827,17
Severity_Emphasis,Age_band_of_driver,51.15005726853901,14
Severity_Emphasis,has_public_transport,47.05382307123812,18
Severity_Emphasis,Type_of_collision,44.39179686136184,19
Severity_Emphasis,Vehicle_driver_relation,44.15423001936251,20
Severity_Emphasis,Educational_level,43.710926570042616,21
Severity_Emphasis,Vehicle_movement,43.196295031710946,22
Severity_Emphasis,Drivers_gender,39.230877719542775,24
Severity_Emphasis,Number_of_casualties,41.826078336737865,23
Actionability_Emphasis,junction_common,99.72026714199616,1
Actionability_Emphasis,vehicle_count,75.10088660757357,4
Actionability_Emphasis,surface_common,77.40109982194822,2
Actionability_Emphasis,Area_accident_occured,72.62989317327546,5
Actionability_Emphasis,light_common,75.265733157148,3
Actionability_Emphasis,weather_common,68.81628028536129,6
Actionability_Emphasis,has_motorcycle,65.96089766409126,7
Actionability_Emphasis,has_two_wheeler,65.05952440301654,8
Actionability_Emphasis,hour,61.91337222381053,12
Actionability_Emphasis,day_common,59.98451154691564,14
Actionability_Emphasis,Driving_experience,61.835821318158324,13
Actionability_Emphasis,Cause_of_accident,62.97747970346529,11
Actionability_Emphasis,Road_surface_type,64.45983102067862,9
Actionability_Emphasis,Road_allignment,64.26360970025212,10
Actionability_Emphasis,has_heavy_vehicle,59.23796552916614,15
Actionability_Emphasis,vehicle_category,55.086141999657166,17
Actionability_Emphasis,Age_band_of_driver,52.73208086341836,18
Actionability_Emphasis,has_public_transport,55.66268878179874,16
Actionability_Emphasis,Type_of_collision,51.60612028019808,19
Actionability_Emphasis,Vehicle_driver_relation,51.37078147557242,20
Actionability_Emphasis,Educational_level,51.183814464629464,21
Actionability_Emphasis,Vehicle_movement,50.716870946026724,22
Actionability_Emphasis,Drivers_gender,44.759096502024256,23
Actionability_Emphasis,Number_of_casualties,36.67583271342528,24
Stability_Emphasis,junction_common,99.51046749849327,1
Stability_Emphasis,vehicle_count,80.85679928163707,2
Stability_Emphasis,surface_common,76.67421934290742,3
Stability_Emphasis,Area_accident_occured,75.91947125860334,6
Stability_Emphasis,light_common,76.27028074339233,5
Stability_Emphasis,weather_common,76.54493443680074,4
Stability_Emphasis,has_motorcycle,71.14930233328096,7
Stability_Emphasis,has_two_wheeler,70.71596692301037,8
Stability_Emphasis,hour,69.82338509440639,9
Stability_Emphasis,day_common,67.85449984562125,10
Stability_Emphasis,Driving_experience,65.16254125794477,11
Stability_Emphasis,Cause_of_accident,64.6833990679903,12
