Feature,France vs Ethiopia,UK vs Ethiopia,UK vs France,Mean_JS_Distance
junction_common,0.4256,0.2941,0.2666,0.3288
has_motorcycle,0.3514,0.2191,0.1443,0.2383
light_common,0.268,0.1349,0.2271,0.21
has_two_wheeler,0.2233,0.2883,0.0756,0.1957
has_heavy_vehicle,0.252,0.2693,0.0193,0.1802
vehicle_count,0.2238,0.1605,0.0735,0.1526
has_public_transport,0.2008,0.1631,0.0419,0.1353
surface_common,0.0908,0.1324,0.1229,0.1154
weather_common,0.1436,0.0302,0.1425,0.1054
hour,0.0824,0.0504,0.0878,0.0735
day_common,0.0123,0.0137,0.0224,0.0161
