Feature,Mean_Abs_SHAP,Importance_Percent,Rank
junction_common,0.20059287470588646,21.05,1
vehicle_count,0.15599403279092247,16.37,2
weather_common,0.12539376104360853,13.16,3
has_motorcycle,0.10534521612310768,11.05,4
hour,0.08059536252431942,8.46,5
has_two_wheeler,0.0763785290399791,8.01,6
light_common,0.06460556987526543,6.78,7
surface_common,0.0593234507615458,6.22,8
day_common,0.05052203590838418,5.3,9
has_heavy_vehicle,0.02880309656628578,3.02,10
has_public_transport,0.005466248114124913,0.57,11
